,Food_Code,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
Light butter,81101500,1,1,pat (1 teaspoon),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.755,0,0,24.95,1.716
Stick margarine,81102010,1,1,pat (1 teaspoon),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.25,0,0,35.25,0.7395
Tub margarine,81102020,1,1,teaspoon,0.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.83723,0,0,0,33.55176,0.60777
Tub spread (margarine type),81103080,1,1,teaspoon,0.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6292,0,0,0,25.05789,0.45727
Reduced-calorie spread (margarine type),81104010,1,1,pat (1 teaspoon),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.43111,0,0,0,17.25,0.385
Fat-free spread (margarine type),81104100,1,1,teaspoon,0.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03255,0,0,0,2.11992,0.10262
Bacon grease (or meat drippings),81201000,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,106.20288,0,0,107.648,4.55296
Vegetable shortening,81203100,1,1,teaspoon,0.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.34016,0,0,37.34016,0.84776
Lemon-butter sauce,81301020,1,1,Tablespoon,1,0.5,0.5,0,0,0.00738,0,0.00738,0,0,0.00497,0,0,0,0,0,106.784,0,0,106.784,7.50044
Hollandaise sauce,81302010,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.00612,0,0.08807,0,0,0,62.03459,0,0,67.137,4.19244
Tartar sauce,81302050,1,1,Tablespoon,1,0.5,0.5,0.01771,0,0.00734,0,0,0,0.00734,0,0,0.01541,0,0,1.59626,0.54043,1.45116,0,74.304,1.1088
Horseradish sauce,81302060,1,1,Tablespoon,1,0.5,0.5,0,0,0.00056,0,0,0,0.00056,0,0,0,0,0,0,25.6788,0,0,29.26,1.7766
Pesto sauce,81302070,1,1,Tablespoon,1,0.5,0.5,0,0,0.03957,0,0.03957,0,0,0,0.08818,0.19988,0,0,1.63588,6.27863,0,0,82.44133,1.31806
Fat-free mayonnaise-type dressing,83203250,1,1,Tablespoon,1,0.5,0.5,0.0752,0,0,0,0,0,0,0,0,0,0,0,0,3.88368,6.20253,0,13.44,0.096
Raw tomatoes,74101000,2,1,wedge (1/4 of medium tomato),1,1,1,0,0,0.17236,0,0,0,0.17236,0,0,0,0,0,0,0,0,0,5.58,0.0124
Cooked tomatoes,74201001,1,0.5,cup,0.5,0.25,0.5,0,0,0.5004,0,0,0,0.5004,0,0,0,0,0,0,0,0,0,21.6,0.012
Stewed tomatoes,74204013,1,0.5,cup,0.5,0.25,0.5,0,0,0.54188,0,0,0,0.54188,0,0,0,0,0,0,0,6.88032,0,33.15,0.03825
Fried green tomatoes,74205011,1,3,slices,3,1,0.33333,0.783,0,0.38664,0,0,0,0.38664,0,0.06804,0.13716,0,0,0,15.50988,0,0,211.68,3.43656
Dried tomatoes,74206000,1,1,piece,1,1,1,0,0,0.07408,0,0,0,0.07408,0,0,0,0,0,0,0,0,0,5.16,0.0086
Tomato juice,74301100,1,1,cup,1,0.5,0.5,0,0,0.99873,0,0,0,0.99873,0,0,0,0,0,0,0,0,0,41.31,0.0243
V-8 juice (tomato-vegetable juice),74303000,1,1,cup,1,0.5,0.5,0,0,1.00188,0.0121,0.00242,0,0.98978,0,0,0,0,0,0,0,0,0,43.56,0.0242
Ketchup (catsup),74401010,1,1,Tablespoon,0.5,0.5,0.5,0,0,0.0849,0,0,0,0.0849,0,0,0,0,0,0,0,9.49884,0,14.25,0.012
Salsa,74402100,1,0.25,cup,0.25,0.25,1,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,17.36,0.0186
Enchilada sauce,74402250,1,0.25,cup,0.25,0.25,1,0,0,0.19688,0,0,0,0.19688,0,0,0,0,0,0,69.18188,0,0,79.375,4.16875
Green tomato-chile sauce,74402350,1,0.25,cup,0.25,0.25,1,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,26.45176,0,0,45.51,0.85485
Tomato sauce,74403010,1,0.5,cup,0.5,0.25,0.5,0,0,0.4998,0,0,0,0.4998,0,0,0,0,0,0,0,0,0,39.2,0.03675
Spaghetti sauce (meatless),74404010,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0,0,0,0.5,0,0.005,0,0,0,0.02778,19.76625,3.63683,0,71.25,0.3625
"Spaghetti sauce, fat-free (meatless)",74404060,1,0.5,cup,0.5,0.25,0.5,0.155,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,13.83622,0,51.25,0.1625
Barbeque sauce,74406010,1,1,fast-food container,1,0.5,0.5,0.0896,0,0.0064,0,0,0,0.0064,0,0,0,0,0,0.00071,0,5.31571,0,24,0.0864
Raw cabbage,75105000,1,0.5,cup chopped,0.5,0.25,0.5,0,0,0.50018,0,0,0,0.50018,0,0,0,0,0,0,0,0,0,13.795,0.01335
Raw cauliflower,75107000,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,12.5,0.015
Raw celery,75109000,1,0.5,cup diced,0.5,0.25,0.5,0,0,0.4998,0,0,0,0.4998,0,0,0,0,0,0,0,0,0,8.4,0.024
Chives,75109500,1,1,Tablespoon,1,0.5,0.5,0,0,0.06249,0,0,0,0.06249,0,0,0,0,0,0,0,0,0,0.9,0.0045
Cilantro,75109550,1,0.25,cup,0.25,0.25,1,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.92,0.0004
Cucumber,75111000,1,0.5,cup sliced,0.5,0.25,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,7.14,0.00595
Garlic,75111500,1,1,clove,1,0.5,0.5,0,0,0.02205,0,0,0,0.02205,0,0,0,0,0,0,0,0,0,4.47,0.0027
Lettuce,75113000,1,1,"cup, chopped or shredded",1,0.25,0.25,0,0,0.49995,0,0,0,0.49995,0,0,0,0,0,0,0,0,0,5.5,0.0055
Mixed salad greens,75114000,1,1,"cup, chopped or shredded",1,0.25,0.25,0,0,0.49995,0,0.3322,0,0.1683,0,0,0,0,0,0,0,0,0,8.8,0.0165
Raw mushrooms,75115000,1,0.5,cup pieces or slices,0.5,0.25,0.5,0,0,0.50015,0,0,0,0.50015,0,0,0,0,0,0,0,0,0,7.7,0.0175
Raw onion,75117020,1,1,"slice (1/8"" thick)",1,1,1,0,0,0.0875,0,0,0,0.0875,0,0,0,0,0,0,0,0,0,5.88,0.0042
Parsley,75119000,1,5,springs,0.5,1,0.2,0,0,0.00416,0,0.00416,0,0,0,0,0,0,0,0,0,0,0,0.18,0.00065
Raw hot pepper (jalapeno),75121000,1,1,pepper,1,0.5,0.5,0,0,0.30015,0,0,0,0.30015,0,0,0,0,0,0,0,0,0,18.9,0.027
Raw sweet pepper (bell pepper),75122100,1,1,slice or ring,1,1,1,0,0,0.0671,0,0,0,0.0671,0,0,0,0,0,0,0,0,0,2,0.006
Radish,75125000,1,1,slice,1,1,1,0,0,0.00862,0,0,0,0.00862,0,0,0,0,0,0,0,0,0,0.16,0.0003
Coleslaw,75141000,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0.05888,0,0,0.441,0,0,0.02576,0,0,2.5762,0.5796,6.59457,0,134.32,1.794
Tossed salad (lettuce and vegetables),75143000,1,1,cup,1,0.25,0.25,0,0,0.56429,0.04307,0,0,0.52122,0,0,0,0,0,0,0,0,0,11.68,0.0146
Artichoke,75201011,1,0.5,cup hearts,0.5,0.25,0.5,0,0,0.4998,0,0,0,0.4998,0,0,0,0,0,0,0,0,0,42,0.0336
Cooked asparagus,75202011,1,5,medium spears,5,1,0.2,0,0,0.417,0,0,0,0.417,0,0,0,0,0,0,0,0,0,16.5,0.0525
Cooked green lima beans,75204011,1,0.5,cup,0.5,0.25,0.5,0,0,0.4998,0,0,0.4998,0,0,0,0,0,0,0,0,0,0,103.7,0.0595
Cooked green beans,75205023,1,0.5,cup,0.5,0.25,0.5,0,0,0.50018,0,0,0,0.50018,0,0,0,0,0,0,0,0,0,13.5,0.0135
Cooked bean sprouts,75207011,1,0.5,cup,0.5,0.25,0.5,0,0,0.50034,0,0,0,0.50034,0,0,0,0,0,0,0,0,0,29.14,0.1736
Cooked beets,75208011,1,0.5,cup slices,0.5,0.25,0.5,0,0,0.4998,0,0,0,0.4998,0,0,0,0,0,0,0,0,0,37.4,0.0255
Cooked Brussels sprouts,75209012,1,0.5,cup,0.5,0.25,0.5,0,0,0.49988,0,0,0,0.49988,0,0,0,0,0,0,0,0,0,32.55,0.062
Cooked cabbage,75211020,1,0.5,cup,0.5,0.25,0.5,0,0,0.50025,0,0,0,0.50025,0,0,0,0,0,0,0,0,0,16.5,0.0375
Cooked cauliflower,75214011,1,0.5,cup flowerets,0.5,0.25,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,16.56,0.0432
Cream style corn,75216153,1,0.5,cup,0.5,0.25,0.5,0.04992,0,0.49024,0,0,0.49024,0,0,0,0,0,0,0,0,11.73409,0,92.16,0.0896
Boiled or steamed okra,75220011,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,17.6,0.032
Cooked onions,75221011,1,0.5,cup,0.5,0.25,0.5,0,0,0.4998,0,0,0,0.4998,0,0,0,0,0,0,0,0,0,46.2,0.0315
Blackeye peas,75223011,1,0.5,cup,0.5,0.25,0.5,0,0,0.49995,0,0,0.49995,0,0,0,0,0,0,0,0,0,0,79.2,0.07425
Cooked green peas,75224021,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,66.4,0.032
Cooked sweet peppers,75226010,1,0.5,cup,0.5,0.25,0.5,0,0,0.4998,0,0,0,0.4998,0,0,0,0,0,0,0,0,0,19.04,0.0204
Cooked hot peppers,75226101,1,1,pepper,1,0.5,0.5,0,0,0.31605,0,0,0,0.31605,0,0,0,0,0,0,0,0,0,18.06,0.0086
Sauerkraut,75230010,1,0.5,cup,0.5,0.25,0.5,0,0,0.49984,0,0,0,0.49984,0,0,0,0,0,0,0,0,0,13.49,0.0284
Cooked snowpeas,75231011,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,33.6,0.032
Zucchini or summer squash,75233011,1,0.5,cup,0.5,0.25,0.5,0,0,0.5004,0,0,0,0.5004,0,0,0,0,0,0,0,0,0,18,0.054
Cooked turnip,75234011,1,0.5,cup pieces,0.5,0.25,0.5,0,0,0.49988,0,0,0,0.49988,0,0,0,0,0,0,0,0,0,17.05,0.00775
Water chestnut,75235000,1,0.5,cup,0.5,0.25,0.5,0,0,0.50007,0,0,0,0.5,0,0,0,0,0,0,0,0,0,39.5,0.0158
Vegemite,75236500,1,1,teaspoon,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48,0
Succotash (lima beans and corn),75301110,1,0.5,cup,0.5,0.25,0.5,0,0,0.50016,0,0,0.50016,0,0,0,0,0,0,0,0,0,0,88.32,0.16224
"Bean salad (green, yellow, kidney beans)",75302080,1,0.5,cup,0.5,0.25,0.5,0,0,0.2565,0,0,0,0.2565,0,0,0,0,0.12825,0.4755,0,2.23086,0,57,0.36
Sauteed green peppers & onions,75307000,1,0.5,cup,0.5,0.25,0.5,0,0,0.49968,0,0,0,0.49968,0,0,0,0,0,0,13.49136,0,0,39.6,0.3024
Cooked mixed vegetables,75311012,1,0.5,cup,0.5,0.25,0.5,0,0,0.5005,0.14287,0,0.25571,0.10192,0,0,0,0,0,0,0,0,0,59.15,0.0273
Stew vegetables,75317000,1,0.5,cup,0.5,0.25,0.5,0,0,0.49995,0.20873,0,0.16748,0.12375,0,0,0,0,0,0,19.19363,0,0,57.75,0.4455
Boiled potatoes,71103010,2,8,ounces raw,8,1,0.125,0,0,1.17944,0,0,1.17944,0,0,0,0,0,0,0,0,0,0,156.4,0.0552
Roasted potatoes,71104010,1,1,"medium (2 per pound, raw)",1,0.25,0.25,0,0,1.0742,0,0,1.0742,0,0,0,0,0,0,0,0,0,0,179.47,0.0655
"Potato chips, regular (all flavors)",71201010,1,1,cup,1,0.5,0.5,0,0,0.3528,0,0,0.3528,0,0,0,0,0,0,1.52404,0,0,0,107.2,2.192
"French fries, deep-fried",71401030,1,1,medium fast food order,1,0.25,0.25,0,0,0.859,0,0,0.859,0,0,0,0,0,0,0,220.68594,3.02304,0,456.94,5.2528
Home fries,71403000,1,0.5,cup,0.5,0.25,0.5,0,0,0.50052,0,0,0.44426,0.05529,0,0,0,0,0,2.05209,0,0,0,179.45,1.1931
Hash browns,71405020,1,0.5,cup,0.5,0.25,0.5,0,0,0.50025,0,0,0.50025,0,0,0,0,0,0,0,72.9234,0,0,157.325,3.2335
Potato skin with cheese & bacon,71411000,1,1,order (10 halves),1,0.25,0.25,0,0,3.444,0,0,3.444,0,0,1.659,1.3398,0,0,0,673.2558,0,0,1667.4,30.87
"Mashed potatoes (with milk, no butter)",71501010,1,0.5,cup,0.5,0.25,0.5,0,0,0.4998,0,0,0.4998,0,0,0.05145,0,0,0,0,2.1924,0,0,85.05,0.1785
Mashed potatoes (with milk and butter),71501020,1,0.5,cup,0.5,0.25,0.5,0,0,0.4998,0,0,0.4998,0,0,0.04935,0,0,0,0,28.7847,0,0,109.2,0.7245
Mashed potatoes (with butter),71501030,1,0.5,cup,0.5,0.25,0.5,0,0,0.4998,0,0,0.4998,0,0,0,0,0,0,0,30.00375,0,0,115.5,0.651
Tator tots,71505000,1,0.5,cup,0.5,0.25,0.5,0,0,0.49984,0,0,0.49984,0,0,0,0,0,0,0,61.15968,0,0,142.08,3.2576
Stuffed baked potato (with sour cream),71508010,1,0.5,medium potato,0.5,0.25,0.5,0,0,0.708,0,0,0.708,0,0,0,0,0,0,0,70.9947,0,0,158.12,4.13
Stuffed baked potato (with cheese),71508020,1,0.5,potato (frozen),1,0.25,0.5,0,0,0.959,0,0,0.959,0,0,0.3388,0,0,0,0,65.5578,0,0,194.6,3.374
Potato salad with egg,71601010,1,0.5,cup,0.5,0.25,0.5,0,0,0.50373,0,0,0.41785,0.08589,0,0,0.20748,0,0,1.23005,4.9765,0.53329,0,131.24,1.1966
Potato salad,71603010,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0,0,0.404,0.09554,0,0,0.01351,0,0,1.3748,0.30398,0.59603,0,129.31,0.97465
Potato pancake (latke),71701000,1,1,large pancake,1,0.5,0.5,0.08806,0,0.4958,0,0,0.481,0.01517,0,0,0.12025,0,0,0,30.25305,0,0,69.93,0.8177
Potato pudding,71702000,1,0.5,cup,0.5,0.25,0.5,0,0,0.28728,0,0,0.28728,0,0,0.10944,0.28728,0,0,0,7.91502,0,0,143.64,3.53856
Cream of potato soup,71801010,1,1,cup,1,0.5,0.5,0.13888,0,0.36952,0,0,0.3596,0.00992,0,0.54312,0.00248,0,0,0,41.55984,0,0,136.4,2.7032
Plantain soup,71851010,1,1,cup,1,0.5,0.5,0.0343,0,0.3675,0,0,0.3675,0,0,0,0,0.0392,0,0,0.91385,0,0,98,0.5586
Plantain (boiled or baked),71900100,1,0.5,medium plantain,0.5,0.25,0.5,0,0,0.62068,0,0,0.62068,0,0,0,0,0,0,0,0,0,0,136.88,0.0826
Fried plantain,71905110,1,0.5,medium plantain,0.5,0.25,0.5,0,0,0.58608,0,0,0.58608,0,0,0,0,0,0,2.82722,0,0,0,249.48,1.7523
Cassava,71930100,1,1,piece,1,1,1,0,0,0.1516,0,0,0.1516,0,0,0,0,0,0,0,0,0,0,32.2,0.014
Cassava bread,71930200,1,1,"piece (6"" across)",1,0.5,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,299,0.131
Cassava with creole sauce,71931010,1,1,portion,1,1,1,0,0,1.1891,0,0,0.621,0.5681,0,0,0,0,0,6.7896,0,0,0,308.2,1.127
"Taro (cocoyam), boiled",71962010,1,0.5,"cup, pieces",0.5,0.25,0.5,0,0,0.4998,0,0,0.5,0,0,0,0,0,0,0,0,0,0,106,0.038
Caesar salad with dressing,72116140,1,1,cup,1,0.25,0.25,0.3186,0,0.62208,0,0.62208,0,0,0.01944,0.13716,0.2862,0,0,2.54808,13.03452,1.26391,0,168.48,2.5812
"Greens, cooked without fat",72118211,1,0.5,cup,0.5,0.25,0.5,0,0,0.50005,0,0.50005,0,0,0,0,0,0,0,0,0,0,0,18.25,0.0365
"Greens, cooked with fat",72118221,1,0.5,cup,0.5,0.25,0.5,0,0,0.49981,0,0.49981,0,0,0,0,0,0,0,0,15.70325,0,0,33.975,0.3624
Raw spinach,72125100,1,1,cup,1,0.25,0.25,0,0,0.5001,0,0.5001,0,0,0,0,0,0,0,0,0,0,0,6.9,0.018
Cooked spinach,72125212,1,0.5,cup,0.5,0.25,0.5,0,0,0.4997,0,0.4997,0,0,0,0,0,0,0,0,0,0,0,30.4,0.0855
Creamed spinach,72125232,1,0.5,cup,0.5,0.25,0.5,0.177,0,0.317,0,0.317,0,0,0,0.134,0,0,0,0,37.476,0,0,78,1.18
Raw broccoli,72201100,1,0.5,cup flowerets,0.5,0.25,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,12.07,0.0142
Cooked broccoli,72201211,1,0.5,cup flowerets,0.5,0.25,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,16.975,0.0388
Broccoli with cheese sauce,72201230,1,0.5,cup,0.5,0.25,0.5,0.12882,0,0.4617,0,0.4617,0,0,0,0.4047,0,0,0,0,65.68452,0,0,120.84,3.6252
Broccoli-rice casserole,72202020,1,0.5,cup,0.5,0.25,0.5,0.53124,0,0.26676,0,0.21318,0,0.05358,0,0.37278,0,0,0,0,55.98882,0,0,143.64,2.85
Cream of broccoli soup,72302000,1,1,cup,1,0.5,0.5,0.37683,0,0.4029,0,0.4029,0,0,0,0.74892,0,0,0,0,102.89592,0,0,206.19,3.7446
Broccoli cheese soup,72302100,1,1,cup,1,0.5,0.5,0.48756,0,0.27485,0,0.27485,0,0,0,0.72178,0,0,0,0,75.13443,0.19424,0,164.91,3.3699
Raw carrots,73101010,1,0.5,cup strips or slices,0.5,0.25,0.5,0,0,0.47641,0.47641,0,0,0,0,0,0,0,0,0,0,0,0,25.01,0.0183
Carrot salad,73101110,1,0.5,cup,0.5,0.25,0.5,0,0,0.364,0.364,0,0,0,0.27038,0,0.0315,0,0,3.19842,0.71663,0.01422,0,208.25,2.23125
Cooked carrots,73102211,1,0.5,cup slices,0.5,0.25,0.5,0,0,0.49998,0.49998,0,0,0,0,0,0,0,0,0,0,0,0,27.3,0.0312
Glazed carrots,73102241,1,0.5,cup,0.5,0.25,0.5,0,0,0.49991,0.49991,0,0,0,0,0,0,0,0,0,50.52663,25.60631,0,100.625,1.0787
Carrot juice,73105010,1,1,cup,1,0.5,0.5,0,0,1.00064,1.00064,0,0,0,0,0,0,0,0,0,0,0,0,94.4,0.0708
Peas and carrots,73111212,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0.2152,0,0.2848,0,0,0,0,0,0,0,0,0,0,38.4,0.064
Baked winter squash,73303010,1,0.5,cup,0.5,0.25,0.5,0,0,0.5002,0.5002,0,0,0,0,0,0,0,0,0,0,0,0,37.925,0.123
Baked sweet potato,73403010,1,1,"medium (5"" long)",1,0.25,0.25,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,101.46,0.0342
Candied sweet potato,73406000,1,0.5,cup,0.5,0.25,0.5,0,0,0.4998,0.4998,0,0,0,0,0,0,0,0,0.00065,29.46762,65.46786,0,146.02,0.6468
Mashed sweet potato,73409000,1,0.5,cup,0.5,0.25,0.5,0,0,0.50018,0.50018,0,0,0,0,0.08275,0,0,0,0,25.49781,0,0,107.445,0.72865
Steak sauce (A-1),74406100,1,1,Tablespoon,1,0.5,0.5,0,0,0.04864,0,0,0,0.04864,0.00688,0,0,0,0,0.00021,0,3.07136,0,9.76,0.0064
Cocktail sauce,74406500,1,4,Tablespoons,0.25,1,0.25,0,0,0.25,0,0,0,0.25,0.02594,0,0,0,0,0,0,31.31654,0,54.6,0.04778
"Tomato cucumber salad, with oil & vinegar",74506000,1,0.5,cup,0.5,0.25,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1.73257,0,10.38923,0,92.22,0.99375
Cream of tomato soup,74601010,1,1,cup,1,0.5,0.5,0.38688,0,0.93248,0,0,0,0.93248,0,0.50096,0,0,0,0,21.15936,4.15192,0,146.32,1.8352
Tomato soup (made with water),74602010,1,1,cup,1,0.25,0.25,0.38552,0,0.92964,0,0,0,0.92964,0,0,0,0,0,0,0,4.16427,0,85.4,0.3416
Raw bean sprouts,75101000,1,0.5,cup,0.5,0.25,0.5,0,0,0.50024,0,0,0,0.50024,0,0,0,0,0,0,0,0,0,15.6,0.026
Nectarine (raw),63131010,1,1,nectarine,1,0.5,0.5,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,59.84,0.0408
Papaya (raw),63133010,1,0.5,medium,0.5,0.25,0.5,0,0,0,0,0,0,0,1.00016,0,0,0,0,0,0,0,0,59.28,0.0608
Peach (raw),63135010,1,1,medium (4 per lb),1,0.5,0.5,0,0,0,0,0,0,0,0.62426,0,0,0,0,0,0,0,0,38.22,0.0196
Peach (canned in light syrup),63135140,1,1,half with liquid,1,1,1,0,0,0,0,0,0,0,0.39004,0,0,0,0,0.00087,0,33.73745,0,52.92,0.00294
Pear (raw),63137010,1,1,medium (2-1/2 per lb),1,0.5,0.5,0,0,0,0,0,0,0,1.00596,0,0,0,0,0,0,0,0,96.28,0.0166
Pear (canned in light syrup),63137140,1,1,half with liquid,1,1,1,0,0,0,0,0,0,0,0.30552,0,0,0,0,0.00101,0,20.65428,0,43.32,0.00152
Persimmons (raw),63139010,1,1,persimmon,1,0.5,0.5,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,117.6,0.0336
Pineapple (raw),63141010,1,0.5,"cup, diced",0.5,0.25,0.5,0,0,0,0,0,0,0,0.49988,0,0,0,0,0,0,0,0,37.2,0.00775
Pineapple (canned in light syrup),63141140,1,0.5,"cup, chunks or crushed",0.5,0.25,0.5,0,0,0,0,0,0,0,0.50022,0,0,0,0,0.00168,0,26.72645,0,65.52,0.0126
Plum (raw),63143010,1,1,plum,1,0.5,0.5,0,0,0,0,0,0,0,0.39996,0,0,0,0,0,0,0,0,30.36,0.0132
Pomegranate (raw),63145010,1,0.5,pomegranate,0.5,0.25,0.5,0,0,0,0,0,0,0,0.49973,0,0,0,0,0,0,0,0,52.36,0.0308
Watermelon (raw),63149010,1,0.5,"cup, diced",0.5,0.25,0.5,0,0,0,0,0,0,0,0.50008,0,0,0,0,0,0,0,0,22.8,0.0152
Blueberries (raw),63203010,1,0.5,cup,0.5,0.25,0.5,0,0,0,0,0,0,0,0.50025,0,0,0,0,0,0,0,0,41.325,0.02175
Cranberry sauce,63207110,1,0.25,cup,0.25,0.25,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0.00492,0,92.60225,0,104.5675,0.00693
Raspberries (raw),63219020,1,0.5,cup,0.5,0.25,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,31.98,0.0123
Strawberries (raw),63223020,1,0.5,"cup, whole",0.5,0.25,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,23.04,0.0072
Strawberries (cooked or canned in syrup),63223130,1,0.5,cup,0.5,0.25,0.5,0,0,0,0,0,0,0,0.50038,0,0,0,0,0.00423,0,88.28831,0,116.84,0.0127
Ambrosia,63301010,1,0.5,cup,0.5,0.25,0.5,0,0,0,0,0,0,0,0.50759,0,0.3,0,0,0.50094,0,14.33619,0,50,1.5
Fruit salad (no dressing),63311000,1,0.5,cup,0.5,0.25,0.5,0,0,0,0,0,0,0,0.49963,0,0,0,0,0,0,0,0,48.125,0.02625
Fruit cocktail (canned in heavy syrup),63311130,1,1,snack size package (4 oz),1,0.5,0.5,0,0,0,0,0,0,0,0.45539,0,0,0,0,0.00301,0,48.83791,0,82.49,0.0113
Fruit cocktail (canned in light syrup),63311140,1,1,snack size package (4 oz),1,0.5,0.5,0,0,0,0,0,0,0,0.46669,0,0,0,0,0.00201,0,29.95661,0,64.41,0.0113
Waldorf salad (apple salad in dressing),63401010,1,0.5,cup,0.5,0.25,0.5,0,0,0.08152,0,0,0,0.08152,0.42333,0,0.36031,0,0,2.04815,0.34524,0,0,121.245,1.37685
Guacamole,63409010,1,0.25,cup,0.25,0.25,1,0,0,0.00291,0,0,0,0.00291,0.25,0,0,0,0,0,0,0,0,91.4525,1.20577
Fruit soup,63415100,1,1,cup,1,0.5,0.5,0.34848,0,0,0,0,0,0,0.52514,0,0,0,0,0,0,40.16071,0,176.66,0.02178
Frozen fruit juice bar,63420110,1,1,bar,1,0.5,0.5,0,0,0,0,0,0,0,0.5587,0,0,0,0,0,0,0,0,60.68,0
Low-calorie frozen fruit juice bar,63420200,1,1,bar,1,0.5,0.5,0.0081,0,0,0,0,0,0,0.17334,0,0,0,0,0.00024,0,12.45479,0,23.76,0.0108
Sorbet (made with fruit),63430100,1,0.5,cup,0.5,0.25,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,82,0
100% Fruit juice blend (Juicy Juice),64100110,1,1,cup,1,0.5,0.5,0,0,0,0,0,0,0,1.0025,0,0,0,0,0,0,0,0,132.5,0.05
Apple cider,64101010,1,1,cup,1,0.5,0.5,0,0,0,0,0,0,0,0.99944,0,0,0,0,0,0,0,0,116.56,0.0496
Apple juice (100% juice),64104010,1,1,cup,1,0.5,0.5,0,0,0,0,0,0,0,0.99944,0,0,0,0,0,0,0,0,116.56,0.0496
Cranberry juice (100% juice),64105400,1,1,cup,1,0.5,0.5,0,0,0,0,0,0,0,1.00188,0,0,0,0,0,0,0,0,116.38,0.0253
Grape juice (100% juice),64116020,1,1,cup,1,0.5,0.5,0,0,0,0,0,0,0,1.00188,0,0,0,0,0,0,0,0,154.33,0.0759
Pineapple juice (100% juice),64124020,1,1,cup,1,0.5,0.5,0,0,0,0,0,0,0,1.0025,0,0,0,0,0,0,0,0,140,0.025
Prune juice (100% juice),64132020,1,1,cup,1,0.5,0.5,0,0,0,0,0,0,0,1.00096,0,0,0,0,0,0,0,0,181.76,0.00768
fruit smoothie (no milk),64134000,1,1,commercial smoothie (20 fl oz),1,0.25,0.25,0,0,0,0,0,0,0,2.29336,0,0,0,0,0,0,87.37695,0,326.12,0.1578
Peach nectar,64205010,1,1,cup,1,0.5,0.5,0,0,0,0,0,0,0,0.6723,0,0,0,0,0.00332,0,61.84192,0,134.46,0.00498
Vinegar,64401000,1,1,Tablespoon,0.06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.016,0
"Baked potato, plain (don't eat peel)",71101000,1,1,"medium (2 per pound, raw)",1,0.25,0.25,0,0,1.03097,0,0,1.03097,0,0,0,0,0,0,0,0,0,0,120.52,0.0393
"Baked potato, plain (eat peel)",71101110,1,1,"medium (2 per pound, raw)",1,0.25,0.25,0,0,1.4186,0,0,1.4186,0,0,0,0,0,0,0,0,0,0,159.16,0.0692
